,X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,address,street,suffix,site,x_longitude,y_latitude,ObjectId
10331,-7912374.558999999,5212600.879,29177,"Oak, Swamp White",Quercus bicolor,1,0-3in,2.0,--,Boston,South End,465,Columbus Avenue,,2,-71.07807,42.34368,28179
40840,-7910741.502,5218286.054,829,"Basswood, American",Tilia americana,1,18-24in,21.0,--,--,Charlestown,60,Cook Street,,1,-71.0634,42.38142,1828
42257,-7917274.842999999,5204648.929,12204,"Pear, Callery",Pyrus calleryana,1,18-24in,23.0,--,Boston,Roslindale,26,Bradeen Street,,1,-71.12209,42.290859999999995,11634
3452,-7915668.503,5201311.761,20026,Goldenrain Tree,Koelreuteria paniculata,3,0-3in,1.0,--,Boston,Hyde Park,78,Ruskindale Road,,1,-71.10766,42.268679999999996,17992
23770,-7916570.191000001,5202535.453,38201,"Maple, Freeman",Acer x freemanii,1,6-12in,7.0,--,Boston,Roslindale,38,Wilmot Street,,3,-71.11576,42.27681,37605
16690,-7910449.845,5218129.175,4374,Honeylocust,Gleditsia triacanthos,1,3-6in,4.0,--,--,Charlestown,240,Medford Street,,4,-71.06078000000001,42.38037,4218
13590,-7912581.168,5206908.579,31414,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,Boston,Dorchester,135,Columbia Road,,2,-71.07993,42.30587,31880
41554,-7904212.057,5218768.462,3561,"Linden, Littleleaf",Tilia cordata,1,18-24in,22.0,--,--,East Boston,55,Bayswater Street,,1,-71.00475,42.38462,2529
39058,-7920964.527000001,5211866.226,23508,"Maple, Norway",Acer platanoides,1,18-24in,18.0,--,Boston,Allston-Brighton,1931,Commonwealth Avenue,,7,-71.15524,42.3388,24377
31287,-7912928.485,5210111.602,655,"Linden, Littleleaf",Tilia cordata,1,12-18in,12.0,--,Boston,Roxbury,96,Warren Street,B,1,-71.08305,42.32715,1629
31466,-7905311.337,5218313.18,4430,"Maple, Norway",Acer platanoides,1,12-18in,12.0,--,--,East Boston,151,Cowper Street,,1,-71.01462,42.3816,4200
36026,-7908919.2020000005,5211299.687,26778,"Maple, Red",Acer rubrum,1,12-18in,15.0,--,Boston,South Boston,133,Dorchester Street,,1,-71.04703,42.33504,26449
16927,-7912638.831,5202451.051,21961,Honeylocust,Gleditsia triacanthos,1,3-6in,4.0,--,Boston,Mattapan,130,Standard Street,,1,-71.08044,42.27625,21010
13267,-7911173.422,5213799.068,7696,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,--,Central Boston,1,Charles Street South,,9,-71.06728000000001,42.35163,9033
15897,-7917513.067000001,5201146.287,20609,"Cherry, Japanese Flowering",Prunus serrulata,1,3-6in,4.0,--,Boston,Hyde Park,139,Windham Road,,1,-71.12423000000001,42.26758,22468
31046,-7907715.8379999995,5217794.6280000005,5451,Honeylocust,Gleditsia triacanthos,1,12-18in,12.0,--,--,East Boston,97,Lexington Street,,1,-71.03622,42.37815,6641
7462,-7910886.217,5217629.62,4217,"Hornbeam, American",Carpinus caroliniana,1,0-3in,2.0,Spring 2024,Boston,Charlestown,74,High Street,,1,-71.0647,42.37706,4073
27652,-7916152.742000001,5205892.919,34905,Elm,Ulmus species,1,6-12in,10.0,--,Boston,Jamaica Plain,37,Tower Street,,1,-71.11201,42.29913,34167
926,-7922393.981000001,5203851.393,40045,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,West Roxbury,328,Vermont Street,,1,-71.16808,42.28556,38265
37151,-7911086.592,5205694.255,18384,"Maple, Norway 'Crimson King'",Acer platanoides 'Crimson King',1,12-18in,16.0,--,Boston,Dorchester,69,Waldeck Street,,1,-71.0665,42.29781,19169
23867,-7911750.502,5212995.79,28679,"Maple, Norway",Acer platanoides,1,6-12in,7.0,--,Boston,South End,86,Chandler Street,,1,-71.07245999999999,42.3463,28627
24112,-7912115.741,5205269.399,35372,"Oak, Scarlet",Quercus coccinea,1,6-12in,7.0,--,Boston,Dorchester,2,Thane Street,,2,-71.07574,42.294979999999995,36757
16036,-7910027.276000001,5212331.289,25346,"Coffeetree, Kentucky",Gymnocladus dioicus,1,3-6in,4.0,--,Boston,South Boston,150,Dorchester Avenue,,3,-71.05698000000001,42.34189,25221
8140,-7909404.555,5203293.608,40505,"Linden, Silver",Tilia tomentosa,1,0-3in,2.0,Spring 2021,Boston,Dorchester,60,Saint Brendan Road,,1,-71.05139,42.28185,40297
28100,-7908756.676,5211575.272,26811,Honeylocust,Gleditsia triacanthos,1,6-12in,10.0,--,Boston,South Boston,322,West 3rd Street,,2,-71.04557,42.336870000000005,26814
19783,-7911005.329,5211880.985,27848,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,Boston,South End,500,Albany Street,,11,-71.06577,42.3389,29418
5548,-7910813.86,5205453.155,31856,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,0-3in,2.0,--,Boston,Dorchester,4,Centervale Park,,2,-71.06405,42.2962,30223
17914,-7907701.367000001,5211266.557,26373,"Maple, Red",Acer rubrum,1,3-6in,4.0,--,Boston,South Boston,714,East 4th Street,,1,-71.03609,42.33482,26849
23257,-7920848.199,5204009.39,34632,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,6-12in,7.0,--,Boston,West Roxbury,1857,Centre Street,,1,-71.15419,42.286609999999996,33658
3628,-7912007.873,5211279.2069999995,10543,"Linden, Littleleaf",Tilia cordata,1,0-3in,1.0,--,Boston,South End,784,Massachusetts Avenue,,5,-71.07478,42.3349,11070
4518,-7912224.965,5205365.374,42576,"Cherry, Sargent",Prunus sargentii,1,0-3in,2.0,Spring 2022,Boston,Dorchester,39,Spencer Street,,1,-71.07673,42.29562,40662
8971,-7912309.994,5212405.086,29185,"Maple, Red",Acer rubrum,1,0-3in,2.0,--,Boston,South End,145,West Newton Street,,1,-71.07749,42.34238,28170
27931,-7918227.293,5213963.407,9650,Honeylocust,Gleditsia triacanthos,1,6-12in,10.0,--,Boston,Allston-Brighton,114,Brighton Avenue,,1,-71.13065,42.35273,7568
4702,-7909205.727999999,5211385.856000001,38877,"Chokecherry, Canada Red",Prunus virginiana 'Canada Red',1,0-3in,2.0,Fall 2021,Boston,South Boston,249,West Fifth Street,,1,-71.04961,42.335609999999996,39280
15294,-7921029.649,5205177.146000001,14349,Serviceberry,Amelanchier species,1,3-6in,3.0,--,Boston,West Roxbury,220,Manthorne Road,,1,-71.15581999999999,42.29437,14510
17095,-7914852.976,5212787.6389999995,30316,Honeylocust,Gleditsia triacanthos,1,3-6in,4.0,--,Boston,Fenway/Longwood,136,Brookline Avenue,,2,-71.10033,42.34492,31118
15488,-7908125.494,5211325.287,30867,Tulip Tree,Liriodendron tulipifera,1,3-6in,3.0,--,Boston,South Boston,88,I Street,,1,-71.0399,42.33521,32074
12341,-7912514.822000001,5207182.983,32326,"Cherry, Japanese Flowering",Prunus serrulata,2,3-6in,3.0,--,Boston,Dorchester,40,Oldfields Road,,1,-71.07933,42.3077,31707
16828,-7911718.219,5211629.034,10770,Honeylocust,Gleditsia triacanthos,1,3-6in,4.0,--,Boston,South End,778,Harrison Avenue,,2,-71.07217,42.33723,12257
16253,-7913442.113,5211025.616,24690,"Elm, American",Ulmus americana,1,3-6in,4.0,--,Boston,Roxbury,100,Cabot Street,,4,-71.08766,42.333220000000004,22600
43345,-7922339.88,5201887.481000001,12696,"Linden, Littleleaf",Tilia cordata,1,24-30in,28.0,--,Boston,West Roxbury,103,Laurie Avenue,,2,-71.16759,42.27251,13161
28787,-7911646.529,5211628.432,30255,"Pagoda Tree, Japanese",Sophora japonica,1,6-12in,10.0,--,Boston,South End,732,Harrison Avenue,,5,-71.07153000000001,42.33722,31064
20717,-7908831.056,5213985.039,46598,"Oak, Pin",Quercus palustris,1,3-6in,5.0,--,Boston,South Boston,7,Fan Pier Blvd,,1,-71.04624,42.35287,42605
21525,-7917914.93,5207361.658,15529,"Elm, Frontier",Ulmus x 'Frontier',1,6-12in,6.0,--,Boston,Jamaica Plain,19,Driftwood Road,,2,-71.12784,42.30888,16077
29524,-7911704.416,5213630.665,7136,Honeylocust,Gleditsia triacanthos,1,6-12in,11.0,--,--,Back Bay/Beacon Hill,30,St James Avenue,,1,-71.07205,42.35052,6893
23314,-7911034.272000001,5211889.267,33000,"Elm, Chinese",Ulmus parvifolia,1,6-12in,7.0,--,Boston,South End,519,Albany Street,,2,-71.06603,42.33895,33402
26581,-7913587.941000001,5213110.712,28121,Honeylocust,Gleditsia triacanthos,1,6-12in,9.0,--,Boston,Fenway/Longwood,1087,Boylston Street,,1,-71.08896999999999,42.34706,29909
25503,-7909563.742000001,5212703.898,20844,"Maple, Red",Acer rubrum,1,6-12in,8.0,--,Boston,South Boston,168,A Street,,1,-71.05282,42.344359999999995,20302
19568,-7913142.663,5213271.123,7168,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,--,Back Bay/Beacon Hill,927,Boylston Street,,1,-71.08497,42.34813,7110
14528,-7908003.043,5210994.746,31487,"Maple, Red",Acer rubrum,1,3-6in,3.0,--,Boston,South Boston,547,East Sixth Street,,2,-71.0388,42.33302,31976
26363,-7911401.627,5218220.348,2456,Honeylocust,Gleditsia triacanthos,1,6-12in,9.0,--,--,Charlestown,20,Auburn Street,A,1,-71.06933000000001,42.38098,1418
7707,-7911044.291,5207105.463,19395,"Lilac, Japanese Tree",Syringa reticulata,1,0-3in,2.0,--,Boston,Dorchester,276,Bowdoin Street,,1,-71.06612,42.307179999999995,19312
35188,-7907217.795,5217777.901000001,32749,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,15.0,--,--,East Boston,140,Putnam Street,,1,-71.03175,42.378040000000006,33165
41666,-7913343.039,5211263.093,24954,"Linden, Silver",Tilia tomentosa,1,18-24in,22.0,--,Boston,Roxbury,40,Raynor Circle,,1,-71.08677,42.3348,22868
8578,-7918978.225,5204493.717,42557,"Maple, Hedge",Acer campestre,1,0-3in,2.0,Fall 2021,Boston,Roslindale,59,Fletcher Street,,1,-71.13739,42.28983,40674
42120,-7922229.6729999995,5202113.597,12728,"Linden, Silver",Tilia tomentosa,1,18-24in,23.0,--,Boston,West Roxbury,148,Laurie Avenue,,1,-71.1666,42.27401,13265
34059,-7912898.874,5208318.462,22536,Honeylocust,Gleditsia triacanthos,1,12-18in,14.0,--,Boston,Roxbury,7,Holborn Street,,1,-71.08278,42.31524,22340
15045,-7915458.554,5212939.761,28897,"Oak, Swamp White",Quercus bicolor,1,3-6in,3.0,--,Boston,Fenway/Longwood,6,Keswick Street,,1,-71.10576999999999,42.345929999999996,29650
14769,-7915708.578,5204036.475,11428,"Oak, Pin",Quercus palustris,1,3-6in,3.0,--,Boston,Roslindale,570,American Legion Highway,,1,-71.10802,42.28679,10926
6923,-7908065.381,5211502.083000001,26240,Honeylocust,Gleditsia triacanthos,1,0-3in,2.0,--,Boston,South Boston,507,East 3rd Street,,1,-71.03936,42.33638,26511
44072,-7919947.624,5203066.261,13259,"Planetree, London",Platanus x acerifolia,1,>30in,40.0,--,Boston,West Roxbury,197,Stratford Street,,1,-71.1461,42.28034,14643
22430,-7909510.865,5212682.661,25076,"Maple, Red",Acer rubrum,1,6-12in,6.0,--,Boston,South Boston,169,A Street,,3,-71.05235,42.34422,22958
39367,-7916765.0,5207359.55,34812,"Zelkova, Japanese",Zelkova serrata,1,18-24in,18.0,--,Boston,Jamaica Plain,802,Centre Street,,1,-71.11751,42.30887,34137
26156,-7917306.012,5197204.353,20796,"Ash, White",Fraxinus americana,2,6-12in,9.0,--,Boston,Hyde Park,127,Needham Road,,2,-71.12236999999999,42.24137,20207
8975,-7912201.457,5208068.563999999,29705,"Maple, Red",Acer rubrum,1,0-3in,2.0,--,Boston,Dorchester,152,Quincy Street,,3,-71.07652,42.31358,28792
10393,-7911203.477999999,5203752.081,38461,"Oak, Swamp White",Quercus bicolor,1,0-3in,2.0,Spring 2024,Boston,Dorchester,10,Burt Street,,1,-71.06755,42.2849,37820
10921,-7916166.101,5201322.742,20041,Serviceberry,Amelanchier species,1,0-3in,2.0,Spring 2023,Boston,Hyde Park,23,Tacoma Street,,1,-71.11213000000001,42.26875,17956
36849,-7918184.323,5201870.783,20979,"Linden, Littleleaf",Tilia cordata,1,12-18in,16.0,--,Boston,Roslindale,18,Bateman Street,,1,-71.13025999999999,42.2724,20407
41147,-7920714.058999999,5202154.217,12873,"Maple, Norway",Acer platanoides,1,18-24in,21.0,--,Boston,West Roxbury,9,Deroma Road,,1,-71.15298,42.27428,13306
7364,-7911774.547,5212455.691000001,10893,"Hophornbeam, Eastern",Ostrya virginiana,1,0-3in,2.0,--,Boston,South End,42,Upton Street,,2,-71.07268,42.34272,11926
33908,-7909572.091,5215294.945,4035,Honeylocust,Gleditsia triacanthos,1,12-18in,14.0,--,--,Central Boston,79,Commercial Street,,1,-71.05289,42.36156,3797
31643,-7919901.982999999,5204823.945,15044,"Maple, Norway 'Crimson King'",Acer platanoides 'Crimson King',1,12-18in,12.0,--,Boston,West Roxbury,33,Peak Hill Road,,1,-71.14569,42.29202,13958
38917,-7906287.609,5217858.975,42079,"Linden, Littleleaf",Tilia cordata,1,18-24in,18.0,--,Boston,East Boston,51,Neptune Road,,1,-71.02339,42.37858,41422
39647,-7921910.632,5201638.956,12771,"Linden, Littleleaf",Tilia cordata,1,18-24in,19.0,--,Boston,West Roxbury,18,Glenhaven Road,,3,-71.16373,42.27085,13245
10458,-7920882.708,5202473.166999999,41794,"Oak, Swamp White",Quercus bicolor,1,0-3in,2.0,Spring 2022,Boston,West Roxbury,132,Saint Theresa Avenue,,1,-71.1545,42.2764,41954
41509,-7918385.255,5201424.585,21096,Honeylocust,Gleditsia triacanthos,1,18-24in,22.0,--,Boston,Hyde Park,615,Poplar Street,,1,-71.13206,42.26943,20489
19776,-7911820.187999999,5211132.533,27577,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,Boston,South End,775,Albany Street,,3,-71.07309000000001,42.33393,28014
9645,-7904180.331,5219178.401000001,37855,"Oak, Northern Red",Quercus rubra,1,0-3in,2.0,Spring 2021,--,East Boston,0,Bennington Street,,2,-71.00446,42.38734,39764
23972,-7911663.895,5206329.995,19273,"Maple, Silver",Acer saccharinum,1,6-12in,7.0,--,Boston,Dorchester,93,Bowdoin Street,,2,-71.07169,42.30203,18732
5645,-7914486.29,5213377.312,6828,"Elm, American",Ulmus americana,1,0-3in,2.0,--,--,Fenway/Longwood,2234,Beacon Street,,4,-71.09704,42.34883,5278
42135,-7907954.062000001,5216464.847,10487,"Maple, Norway",Acer platanoides,1,18-24in,23.0,--,--,East Boston,26,Bremen Street,,1,-71.03836,42.36933,10393
10996,-7916407.664,5203002.767,29568,"Serviceberry, Allegheny",Amelanchier laevis,1,0-3in,2.0,Spring 2024,Boston,Roslindale,12,Manning Street,,1,-71.1143,42.279920000000004,28509
35145,-7909944.9,5207901.9180000005,19056,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,15.0,--,Boston,Dorchester,65,Auckland Street,,2,-71.05624,42.312470000000005,19995
26897,-7908801.203,5211761.108,26595,"Maple, Norway",Acer platanoides,1,6-12in,9.0,--,Boston,South Boston,365,West 2nd Street,,1,-71.04597,42.3381,26181
21629,-7920291.045,5203737.034,34465,"Hawthorn, Cockspur",Crataegus crus-galli,1,6-12in,6.0,--,Boston,West Roxbury,26,Kenneth Street,,1,-71.14919,42.2848,34050
8337,-7910709.219,5207680.18,19407,"Maple, Amur",Acer ginnala,1,0-3in,2.0,--,Boston,Dorchester,7,Cameron Street,,1,-71.06311,42.31100000000001,19579
43063,-7921261.194,5205518.772,14620,"Oak, Pin",Quercus palustris,1,24-30in,26.0,--,Boston,West Roxbury,291,Independence Drive,,1,-71.1579,42.296640000000004,13627
25191,-7907372.973999999,5210715.413,20212,"Linden, Littleleaf",Tilia cordata,1,6-12in,8.0,--,Boston,South Boston,194,M Street,,1,-71.03314,42.33116,21491
672,-7909643.892000001,5208100.177,38521,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Dorchester,52,Tuttle Street,,1,-71.05354,42.313790000000004,37918
8510,-7913348.605,5207577.517,22514,"Maple, Hedge",Acer campestre,1,0-3in,2.0,--,Boston,Roxbury,74,Elm Hill Avenue,,1,-71.08681999999999,42.310320000000004,22260
40611,-7919345.385,5213760.055,36777,"Maple, Norway",Acer platanoides,1,18-24in,20.0,--,Boston,Allston-Brighton,10,Ridgemont Street,,1,-71.14069,42.35138,36375
42352,-7911693.284,5212875.749,37721,Ginkgo,Ginkgo biloba,1,24-30in,24.0,--,Boston,South End,47,Gray Street,,1,-71.07195,42.3455,39614
5040,-7908464.573,5211248.4860000005,26281,Crabapple spp.,Malus spp.,1,0-3in,2.0,Fall 2022,Boston,South Boston,548,East 4th Street,,1,-71.04295,42.3347,26704
19512,-7910231.102000001,5209621.5030000005,1949,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,Boston,Dorchester,42,Dorset Street,-44,1,-71.05882,42.323890000000006,2446
33602,-7907952.949,5211645.148,26049,"Zelkova, Japanese",Zelkova serrata,1,12-18in,13.0,--,Boston,South Boston,626,East 2nd Street,,1,-71.03835,42.33733,26055
4419,-7915405.789,5209702.959,16298,"Cherry, Okame",Prunus 'Okame',1,0-3in,2.0,--,Boston,Jamaica Plain,24,Gay Head Street,,1,-71.1053,42.32444,17104
2740,-7921016.291,5212594.855,23737,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,0,,0.0,--,Boston,Allston-Brighton,10,Portina Road,,1,-71.1557,42.34364,24737
37455,-7920409.155,5213522.665,37025,"Zelkova, Japanese",Zelkova serrata,1,12-18in,16.0,--,Boston,Allston-Brighton,17,Henshaw Street,,1,-71.15025,42.3498,37077
40288,-7906880.942000001,5210851.841,30127,Honeylocust,Gleditsia triacanthos,1,18-24in,20.0,--,Boston,South Boston,1802,Columbia Road,,2,-71.02871999999999,42.33207,30876
10135,-7913626.903,5202880.294,21648,"Oak, Shingle",Quercus imbricaria,1,0-3in,2.0,Spring 2024,Boston,Mattapan,510,Norfolk Street,,1,-71.08932,42.279109999999996,22409
18160,-7910396.003,5215312.913,4552,"Oak, Pin",Quercus palustris,1,3-6in,4.0,--,--,Central Boston,40,Sudbury Street,,3,-71.0603,42.36168,4519
39047,-7910006.793,5210111.903,25016,"Maple, Norway",Acer platanoides,1,18-24in,18.0,--,Boston,South Boston,670,East 2nd Street,,1,-71.0568,42.32715,22970
27767,-7913562.3379999995,5207158.899,22318,Ginkgo,Ginkgo biloba,1,6-12in,10.0,--,Boston,Roxbury,204,Seaver Street,,2,-71.08874,42.30754,21592
39784,-7921511.663,5201812.261,12841,"Maple, Norway",Acer platanoides,1,18-24in,19.0,--,Boston,West Roxbury,25,Woodbrier Road,,1,-71.16015,42.272009999999995,13290
39621,-7903835.909,5219585.494,5129,"Linden, Littleleaf",Tilia cordata,1,18-24in,19.0,--,--,East Boston,54,Orient Avenue,,1,-71.00137,42.39004,6419
14649,-7910997.982000001,5218010.876,5941,"Oak, English",Quercus robur,1,3-6in,3.0,--,--,Charlestown,35,Russell Street,,1,-71.0657,42.37959,7046
18314,-7909282.103999999,5204470.907,1348,"Oak, Swamp White",Quercus bicolor,1,3-6in,4.0,--,Boston,Dorchester,574,Ashmont Street,,1,-71.05029,42.28968,289
29316,-7919055.2870000005,5204943.282,14705,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,6-12in,11.0,--,Boston,West Roxbury,1453,Centre Street,,1,-71.13808,42.29282,13712
10827,-7922028.742000001,5200836.408,12653,"Redbud, Eastern",Cercis canadensis,1,0-3in,2.0,Spring 2023,Boston,West Roxbury,21,Vogel Street,,1,-71.16479,42.26552,13181
7725,-7912448.03,5202611.131,21990,"Lilac, Japanese Tree",Syringa reticulata,1,0-3in,2.0,--,Boston,Mattapan,10,Woodgate Street,,2,-71.07873000000001,42.27732,21051
42887,-7913327.454,5212428.732,27906,"Zelkova, Japanese",Zelkova serrata,1,24-30in,25.0,--,Boston,Fenway/Longwood,36,Saint Stephen Street,,1,-71.08663,42.34254,29512
29338,-7911786.792,5202697.791999999,9530,"Elm, Chinese",Ulmus parvifolia,1,6-12in,11.0,--,Boston,Mattapan,119,Gallivan Boulevard,,2,-71.07279,42.27789,9413
16502,-7913542.3,5212504.037,594,Goldenrain Tree,Koelreuteria paniculata,1,3-6in,4.0,--,Boston,Fenway/Longwood,41,Symphony Road,a,1,-71.08856,42.34304,1568
10424,-7922585.969,5201565.772,42415,"Oak, Swamp White",Quercus bicolor,1,0-3in,2.0,Spring 2022,Boston,West Roxbury,48,Laurie Avenue,,1,-71.1698,42.27037,40562
20994,-7922485.708,5203534.654,34487,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,5.0,--,Boston,West Roxbury,107,Chesbrough Road,,1,-71.1689,42.28345,34339
25162,-7910586.767999999,5215355.961,4863,"Linden, Littleleaf",Tilia cordata,1,6-12in,8.0,--,--,Central Boston,7,Bullfinch Place,,2,-71.06201,42.36197,4853
25946,-7920941.707,5214427.97,25347,"Sweetgum, Common",Liquidambar styraciflua,1,6-12in,8.0,--,Boston,Allston-Brighton,105,Faneuil Street,,1,-71.15503000000001,42.35581,25222
