,Unnamed: 0,Unnamed: 0.1,X,Y,OBJECTID,METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE,text
56,1244,6207,765272.5288,2952854.038,6208,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,DEER,BAY STATE RD,1.0,,-71.096375,42.350074,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KA,KA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BAY STATE RD
METER_TYPE：SINGLE-SPACE"
1292,875,812,777054.2867,2962360.275,813,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,EIGH,FIRST AVENUE,1.0,,-71.05260600000003,42.375997999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AG,AG,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:FIRST AVENUE
METER_TYPE：SINGLE-SPACE"
1118,42,3123,771580.0427,2954767.3860000004,3124,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,BERK,BEACON ST,1.0,,-71.073006,42.35524,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DC,DC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BEACON ST
METER_TYPE：SINGLE-SPACE"
584,962,2470,773591.4091,2950823.131,2471,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,E BE,WASHINGTON ST,1.0,,-71.065639,42.344389,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CF,CF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:WASHINGTON ST
METER_TYPE：SINGLE-SPACE"
374,1592,3227,772605.4944,2954885.515,3228,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,BOYL,CHARLES ST,1.0,,-71.06921,42.35555,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DD,DD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:CHARLES ST
METER_TYPE：SINGLE-SPACE"
275,1962,6551,765862.2792,2952644.74,6552,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,RALE,BEACON ST,1.0,,-71.094197,42.349492,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KC,KC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BEACON ST
METER_TYPE：SINGLE-SPACE"
746,155,6115,765009.9873,2952695.365,6116,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,COMM,DEERFIELD ST,1.0,,-71.097349,42.349641999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KA,KA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:DEERFIELD ST
METER_TYPE：SINGLE-SPACE"
128,1193,4518,768166.0679,2949951.034,4519,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,GAIN,HUNTINGTON AV,1.0,,-71.085723,42.34207,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0FA,FA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:HUNTINGTON AV
METER_TYPE：SINGLE-SPACE"
1646,1443,4371,769325.9344,2950822.212,4372,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,W NE,ST BOTOLPH ST,1.0,,-71.081417,42.344445,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0EE,EE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:ST BOTOLPH ST
METER_TYPE：SINGLE-SPACE"
1852,1513,6527,766114.3883,2952382.459,6528,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,KENM,COMMONWEALTH AV,1.0,,-71.09326899999998,42.348769,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KC,KC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
674,451,676,778650.4817,2952733.545,677,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,EAST,CONGRESS ST,1.0,,-71.046888,42.349559,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:CONGRESS ST
METER_TYPE：SINGLE-SPACE"
1664,1327,6714,758195.517,2953542.108,6715,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,BABC,COMMONWEALTH AV,1.0,,-71.12254399999998,42.352051,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KD,KD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
1981,1687,2673,770938.9249,2949928.591,2674,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,W BR,TREMONT ST,1.0,,-71.075467,42.341971,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,405.0,,0CG,CG,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:TREMONT ST
METER_TYPE：SINGLE-SPACE"
1083,47,2699,769933.1008,2949128.4260000004,2700,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,W SP,TREMONT ST,1.0,,-71.079202,42.339789,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CG,CG,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:TREMONT ST
METER_TYPE：SINGLE-SPACE"
1922,1970,5257,756900.8388,2953084.526,5258,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,ST L,COMMONWEALTH AV,1.0,,-71.127341,42.350811,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,706.0,,0GC,GC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
99,1931,2388,772822.3621,2949898.683,2389,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,E BE,WASHINGTON ST,1.0,,-71.068501,42.341863000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CE,CE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:WASHINGTON ST
METER_TYPE：SINGLE-SPACE"
1179,1101,5259,756854.6762,2953070.4760000007,5260,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,ST L,COMMONWEALTH AV,1.0,,-71.127512,42.350773,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0GC,GC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
964,1366,6465,765599.3979,2952102.316,6466,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,CHAR,NEWBURY ST EXT,1.0,,-71.095179,42.348007,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KC,KC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:NEWBURY ST EXT
METER_TYPE：SINGLE-SPACE"
792,922,2181,771647.9432,2952111.773,2182,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,CHAN,COLUMBUS AV,1.0,,-71.072804,42.347952,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,337.0,,0CD,CD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COLUMBUS AV
METER_TYPE：SINGLE-SPACE"
29,29,1034,775910.5987,2956773.788,1035,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,HANO,UNION ST,1.0,,-71.056946,42.360685,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0BA,BA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:UNION ST
METER_TYPE：SINGLE-SPACE"
628,493,932,774612.8428,2956964.604,933,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,SUDB,CAMBRIDGE ST,1.0,,-71.06174399999998,42.361227,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0BA,BA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:CAMBRIDGE ST
METER_TYPE：SINGLE-SPACE"
944,1005,4687,766480.796,2949136.798,4688,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,FORS,HEMENWAY ST,1.0,,-71.091971,42.339858,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0FB,FB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:HEMENWAY ST
METER_TYPE：SINGLE-SPACE"
572,1334,5458,756567.4044,2952867.33,5459,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,LIND,COMMONWEALTH AV,1.0,,-71.128578,42.350219,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0GD,GD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
907,131,3166,770554.2912,2954380.7169999997,3167,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,CLAR,BEACON ST,1.0,,-71.076808,42.354193,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DC,DC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BEACON ST
METER_TYPE：SINGLE-SPACE"
1080,803,351,779786.4138,2951415.273,352,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,SUMM,D STREET,1.0,,-71.042712,42.345925,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AD,AD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:D STREET
METER_TYPE：SINGLE-SPACE"
450,141,4750,763740.0256,2947362.577,4751,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,SMIT,HUNTINGTON AV,1.0,,-71.10213900000002,42.335025,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,648.0,,0FC,FC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:HUNTINGTON AV
METER_TYPE：SINGLE-SPACE"
1609,229,3686,769471.8435,2953698.264,3687,,IPS,08:00AM-06:00PM MON-FRI $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-FRI, 00:00AM-24:00AM SAT, 06:00PM-24:00AM MON-FRI",,,,E,BEAC,EXETER ST,1.0,,-71.080825,42.352335,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DF,DF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:EXETER ST
METER_TYPE：SINGLE-SPACE"
1290,1936,106,774748.3057,2957951.811,107,450516.0,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,VALE,PORTLAND ST V-C,1.0,,-71.061224,42.363934,,,,516.0,1.0,MULTI-SPACE STALL,NO,DISTRICT 0,,936.0,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE,"STREET:PORTLAND ST V-C
METER_TYPE：MULTI-SPACE STALL"
1078,624,491,774284.2834,2956894.041,492,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,CAMB,BOWDOIN ST,1.0,,-71.062961,42.361038,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BOWDOIN ST
METER_TYPE：SINGLE-SPACE"
254,1423,1964,773046.503,2952241.9960000007,1965,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,CHUR,TREMONT ST,1.0,,-71.067628,42.34829000000001,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,295.0,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:TREMONT ST
METER_TYPE：SINGLE-SPACE"
124,393,1888,774529.9784,2952468.2210000013,1889,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,NASS,HARRISON AV,1.0,,-71.062136,42.348890000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CB,CB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:HARRISON AV
METER_TYPE：SINGLE-SPACE"
1927,564,6769,758382.3339,2953412.835,6770,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,WINS,COMMONWEALTH AV,1.0,,-71.12185500000002,42.351694,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KE,KE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
251,305,734,777610.7029,2953013.028,735,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,MELC,SUMMER ST,1.0,,-71.050729,42.350341,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:SUMMER ST
METER_TYPE：SINGLE-SPACE"
585,405,6148,764362.9568,2952900.772,6149,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,DEER,BAY STATE RD,1.0,,-71.099739,42.350214,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KA,KA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BAY STATE RD
METER_TYPE：SINGLE-SPACE"
1568,1139,4866,764078.3491,2950524.465,4867,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,PARK,BOYLSTON ST,1.0,,-71.100833,42.343697,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0FE,FE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BOYLSTON ST
METER_TYPE：SINGLE-SPACE"
824,859,6291,763849.9696,2953000.046,6292,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,GRAN,BAY STATE RD,1.0,,-71.101635,42.350493,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KB,KB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BAY STATE RD
METER_TYPE：SINGLE-SPACE"
507,182,752,778088.9014,2952705.423,753,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,MELC,SUMMER ST,1.0,,-71.04896600000002,42.34949,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:SUMMER ST
METER_TYPE：SINGLE-SPACE"
889,142,393,779110.3420000002,2950596.068,394,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,CLAFL,D STREET,1.0,,-71.045229,42.343687,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AD,AD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:D STREET
METER_TYPE：SINGLE-SPACE"
70,1453,297,779070.4940000002,2952188.4080000008,298,,IPS,08:00AM-08:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,WTC,SUMMER ST,1.0,,-71.045345,42.348057,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AD,AD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:SUMMER ST
METER_TYPE：SINGLE-SPACE"
1608,1388,2182,771634.7647,2952098.223,2183,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,CHAN,COLUMBUS AV,1.0,,-71.07285300000002,42.347915,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CD,CD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COLUMBUS AV
METER_TYPE：SINGLE-SPACE"
1532,35,469,778927.9624,2950322.5039999997,470,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,PRIV,D STREET,1.0,,-71.045909,42.342939,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AD,AD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:D STREET
METER_TYPE：SINGLE-SPACE"
